¹	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017	2021
75								21	29	47			67	16	15		86	30	14					14		37		49	17		30			9	28	26	45	17			4	28	13		26	12			27	28	30	8	17	10	10	17	45	12	23
76								23	87	99			37	67	20		52	21	17					33		22		74	61		20			7	17	15	12	15			5	39	6		9	15			18	32	12	12	14	21	18	34	30	4	36
77								12	18				31	47	37		73	41	43					26		25		34	70		8			25	22	38	9	13			7	41	32		5	28			15	35	14	12	14	11	22	40	37	7	4
78								18	7				27	63	25		18	19	32					38		6		22	20		36			22	8	17	9	19			16	32	6		8	18			13	18	8	31	12	39	27	30	13	35	12
79								17	45				12	34	21		34	36	16					26		13		48	44		14			9	31	1	14	24			20	24	13		11	25			22	21	17	25	26	18	21	35	37	14	17
80								18	60				46	14	65		11	26	24					31		44		29	33		21			6	39	36	9	24			15	38	13		25	29			16	15	7	12	28	10	15	11	18	29	19
81								15	30				22	17	26		8	21	11					23		19		31	35		29			9	19	8	10	13			17	31	23		4	30			23	19	7	7	24	26	8	28	28	16	8
82								29	50				8	18	57		29	50	31					21		60		36	31		26			35	22	8	9	19			13	33	18		4	34			23	15	11	16	39	23	9	19	15	48	8
83								58	42				19	11	37		39	8	12					48		50		29	14		25			10	9	7	13	7			30	24	14		8	26			1	22	8	12	21	20	31	31		30	2
84								40	32				33	17	25		23	34	3					10		35		47	61		29			8	16	20	9	25			15	25	26		9	22			1	9	6	19	11	13	23	20		12	2
85								37	27				41	62	40		52	23	29					10		26		23	49		37			9	8	26	9	22			34	32	25		16	25			1	6	22	20	25	11	7	26		14	17
86								13	15				56	28	37		35	28	68					31		18		27	85		66			15	10	25		15			12	19	17		4	8			7	25	15	15	23	30	26	37		7	10
87								32	31				59	45	64		39	34	56					38		29		13	29		49			7	16	20		12			6	35	14		3	27			19	24	7	32	31	14	33	26		6	16
88								24	51				41	41	68		20	23	72					19		32		32	8		49			29	15	29		34			22	14	19		5	8			4	13	5	22	31	10	12	5		6	21
89								42	43				59	58	35		37	24	14					15		14		38	26		10			7	16	23		49			14	24	15		12	3			35	13	22	15	8	5	16	10		6	33
